names,values,fixed,steps,lower_bound,upper_bound,lower_start,upper_start,type
mu,1.8,0,0.1,0,8,1,3,1
mu_short,2.7,0,0.1,0,8,1,3,1
tau,0.05,0,0.1,0,1,0.01,0.1,1
wane,0.2,0,0.1,0,1,0.2,0.8,1
sigma1,0.1,0,0.1,0,1,0.1,0.2,1
sigma2,0.03,0,0.1,0,1,0.01,0.1,1
MAX_TITRE,8,1,0.1,0,8,8,8,1
error,1,0,0.1,0,25,0.5,2,1
alpha,1,1,0.1,0,100,0,1,1
beta,1,1,0.1,0,100,0,1,1
kappa,0.9,1,0.1,0,1,0.8,1,1
t_change,6,1,0.1,0,12,0.4,12,1
boost_limit,6,1,0.1,0,8,0,8,1
gradient,0.2,1,0.1,0,1,0,1,1
titre_dependent,0,1,0.1,0,1,0,1,0
wane_type,0,1,0.1,0,1,0,1,0
mu_mean,2,1,0.1,-100,100,1,3,1
mu_sd,0.5,1,0.1,0,1000,0.1,1,1
rho_mean,0,1,0.1,-10,10,-2,2,1
rho_sd,1,1,0.1,0,10,1,2,1
complex_cr,0,1,0.1,0,1,0,1,0
sigma_birth_mod_s,0,1,0.1,0,1,0.01,0.1,1
sigma_birth_mod_l,0,1,0.1,0,1,0.01,0.1,1
sigma_future_mod_s,0,1,0.1,0,1,0.01,0.1,1
sigma_future_mod_l,0,1,0.1,0,1,0.01,0.1,1
rho,-0.3132269053711662,1,0.1,-3,3,-1,1,3
rho,0.09182166211104112,1,0.1,-3,3,-1,1,3
rho,-0.4178143062050236,1,0.1,-3,3,-1,1,3
rho,0.7976404010688958,1,0.1,-3,3,-1,1,3
rho,0.16475388590768025,1,0.1,-3,3,-1,1,3
rho,-0.41023419205900763,1,0.1,-3,3,-1,1,3
rho,0.24371452621424264,1,0.1,-3,3,-1,1,3
rho,0.36916235256460866,1,0.1,-3,3,-1,1,3
rho,0.28789067582674616,1,0.1,-3,3,-1,1,3
rho,-0.152694193578178,1,0.1,-3,3,-1,1,3
rho,0.755890584225424,1,0.1,-3,3,-1,1,3
rho,0.19492161820571555,1,0.1,-3,3,-1,1,3
rho,-0.3106202902709019,1,0.1,-3,3,-1,1,3
rho,-1.10734994358875,1,0.1,-3,3,-1,1,3
rho,0.5624654590715541,1,0.1,-3,3,-1,1,3
rho,-0.022466804507615425,1,0.1,-3,3,-1,1,3
rho,-0.008095131549473044,1,0.1,-3,3,-1,1,3
rho,0.4719181053426496,1,0.1,-3,3,-1,1,3
rho,0.4106105975490443,1,0.1,-3,3,-1,1,3
rho,0.2969506606087544,1,0.1,-3,3,-1,1,3
rho,0.4594886858041091,1,0.1,-3,3,-1,1,3
rho,0.39106815036553355,1,0.1,-3,3,-1,1,3
rho,0.0372824916825953,1,0.1,-3,3,-1,1,3
rho,-0.9946758479316864,1,0.1,-3,3,-1,1,3
rho,0.3099128739473551,1,0.1,-3,3,-1,1,3
rho,-0.028064369764500392,1,0.1,-3,3,-1,1,3
rho,-0.07789775335266465,1,0.1,-3,3,-1,1,3
rho,-0.7353761919496372,1,0.1,-3,3,-1,1,3
rho,-0.23907502755431018,1,0.1,-3,3,-1,1,3
rho,0.2089707800998512,1,0.1,-3,3,-1,1,3
rho,0.679339775764522,1,0.1,-3,3,-1,1,3
rho,-0.05139386367149776,1,0.1,-3,3,-1,1,3
rho,0.19383580577968457,1,0.1,-3,3,-1,1,3
rho,-0.02690252029145256,1,0.1,-3,3,-1,1,3
rho,-0.6885297784143033,1,0.1,-3,3,-1,1,3
rho,-0.20749728164983988,1,0.1,-3,3,-1,1,3
rho,-0.19714497685517465,1,0.1,-3,3,-1,1,3
rho,-0.02965669835559283,1,0.1,-3,3,-1,1,3
rho,0.5500126859919415,1,0.1,-3,3,-1,1,3
rho,0.3815878742287721,1,0.1,-3,3,-1,1,3
rho,-0.08226179812679345,1,0.1,-3,3,-1,1,3
rho,-0.12668084006825378,1,0.1,-3,3,-1,1,3
rho,0.3484816877023687,1,0.1,-3,3,-1,1,3
rho,0.27833159933682866,1,0.1,-3,3,-1,1,3
rho,-0.34437784727475995,1,0.1,-3,3,-1,1,3
rho,-0.3537475784810598,1,0.1,-3,3,-1,1,3
rho,0.18229098106841515,1,0.1,-3,3,-1,1,3
rho,0.3842664622577079,1,0.1,-3,3,-1,1,3
